Item,Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Año,Mes,Contrato,Campo,TipoProd,TipoHidrocarburo,PrecioHidrocarburoUSD,PorcRegalia,ProdGravableBlsKpc,VolumenRegaliaBlsKpc,RegaliasCOP,TrmPromedio,RegimenReg
1,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,NARE,NARE SUR,QB,G,3.1498,0.2,616.54,123.308,1356012.84,3491.32,Ley 141 20%
2,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,NARE,NARE SUR,B,O,38.4116,0.2,4672.09,934.418,125312169.22,3491.32,Ley 141 20%
3,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,NARE,UNDERRIVER,QB,G,3.1498,0.064,3619.91,231.67424,2547712.25,3491.32,Ley 756 8% variable
4,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,NARE,UNDERRIVER,P,O,38.5885,0.06,26329.55,1579.773,212834604.2,3491.32,Ley 756 8% variable
5,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.118,0.2,3216.18,643.236,9247968.37,3491.32,Ley 141 20%
6,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.118,0.12,3216.18,385.9416,5548781.09,3491.32,ARTICULO 39 LEY 756
7,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,47.4346,0.2,15903.1,3180.62,526740466.17,3491.32,Ley 141 20%
8,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,47.4346,0.12,15903.1,1908.372,316044280.2,3491.32,ARTICULO 39 LEY 756
9,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,47.4346,0.06,11811.88,708.7128,117369478.64,3491.32,Ley 756 8% variable
10,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,NARE,NARE SUR,QB,G,3.0797,0.2,293.19,58.638,641898.06,3554.5,Ley 141 20%
11,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,NARE,NARE SUR,B,O,43.9214,0.2,4136.12,827.224,129145065.88,3554.5,Ley 141 20%
12,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,NARE,UNDERRIVER,QB,G,3.0797,0.064,1773.21,113.48544,1242301.65,3554.5,Ley 756 8% variable
13,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,NARE,UNDERRIVER,P,O,44.0729,0.06,24375.69,1462.5414,229117528.02,3554.5,Ley 756 8% variable
14,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0264,0.2,3240.03,648.006,9274157.03,3554.5,Ley 141 20%
15,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0264,0.12,3240.03,388.8036,5564494.44,3554.5,ARTICULO 39 LEY 756
16,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,53.2387,0.2,14227.95,2845.59,538490798.14,3554.5,Ley 141 20%
17,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,53.2387,0.12,14227.95,1707.354,323094479.16,3554.5,ARTICULO 39 LEY 756
18,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,53.2387,0.06,11894.05,713.643,135047631.24,3554.5,Ley 756 8% variable
19,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,3,NARE,NARE SUR,B,O,46.1955,0.2,5274.89,1054.978,176069198.32,3612.77,Ley 141 20%
20,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,3,NARE,UNDERRIVER,P,O,46.33,0.06,27423.42,1645.4052,275407320.13,3612.77,Ley 756 8% variable
21,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0906,0.2,4165.05,833.01,12310552.29,3612.77,Ley 141 20%
22,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0906,0.12,4165.05,499.806,7386331.47,3612.77,ARTICULO 39 LEY 756
23,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,55.5728,0.2,15722.61,3144.522,631331167.13,3612.77,Ley 141 20%
24,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,55.5728,0.12,15722.61,1886.7132,378798700.83,3612.77,ARTICULO 39 LEY 756
25,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,55.5728,0.06,16968.58,1018.1148,204408684.51,3612.77,Ley 756 8% variable
26,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,4,NARE,NARE SUR,B,O,48.6978,0.2,5419.07,1083.814,192685821.74,3650.78,Ley 141 20%
27,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,4,NARE,UNDERRIVER,P,O,46.9755,0.06,27459.62,1647.5772,282554902.56,3650.78,Ley 756 8% variable
28,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1193,0.2,3909.74,781.948,11759448.27,3650.78,Ley 141 20%
29,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1193,0.12,3909.74,469.1688,7055669.16,3650.78,ARTICULO 39 LEY 756
30,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,55.5299,0.2,15178.84,3035.768,615433499.93,3650.78,Ley 141 20%
31,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,55.5299,0.12,15178.84,1821.4608,369260100.2,3650.78,ARTICULO 39 LEY 756
32,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,55.5299,0.06,17760.51,1065.6306,216032572.39,3650.78,Ley 756 8% variable
33,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,5,NARE,NARE SUR,B,O,50.1558,0.2,5042.42,1008.484,188955125.65,3735.67,Ley 141 20%
34,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,5,NARE,UNDERRIVER,P,O,48.419,0.06,20656.54,1239.3924,224178082,3735.67,Ley 756 8% variable
35,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.2753,0.2,3887.25,777.45,12416739.37,3735.67,Ley 141 20%
36,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.2753,0.12,3887.25,466.47,7450043.66,3735.67,ARTICULO 39 LEY 756
37,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,57.0149,0.2,15593.67,3118.734,664255571.55,3735.67,Ley 141 20%
38,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,57.0149,0.12,15593.67,1871.2404,398553343.64,3735.67,ARTICULO 39 LEY 756
39,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,57.0149,0.06,18833.61,1130.0166,240680937.61,3735.67,Ley 756 8% variable
40,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,6,NARE,NARE SUR,B,O,56.3576,0.2,3126.19,625.238,129849433.87,3685.04,Ley 141 20%
41,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,6,NARE,UNDERRIVER,P,O,54.6846,0.06,8858.72,531.5232,107109864.65,3685.04,Ley 756 8% variable
42,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1616,0.2,3623.01,724.602,11112251.18,3685.04,Ley 141 20%
43,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1616,0.12,3623.01,434.7612,6667351.01,3685.04,ARTICULO 39 LEY 756
44,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,63.1898,0.2,14989.91,2997.982,698100915.54,3685.04,Ley 141 20%
45,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,63.1898,0.12,14989.91,1798.7892,418860549.89,3685.04,ARTICULO 39 LEY 756
46,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2021,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,63.1898,0.06,17721.87,1063.3122,247599625.79,3685.04,Ley 756 8% variable
47,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.118,0.2,2189.16,437.832,6294822.58,3491.32,Ley 141 20%
48,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.118,0.12,2189.16,262.6992,3776893.59,3491.32,ARTICULO 39 LEY 756
49,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,47.4346,0.2,6819.9,1363.98,225887865.11,3491.32,Ley 141 20%
50,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,47.4346,0.12,6819.9,818.388,135532719.19,3491.32,ARTICULO 39 LEY 756
51,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,47.4346,0.06,5065.41,303.9246,50332760.65,3491.32,Ley 756 8% variable
52,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0264,0.2,2184.98,436.996,6254215.91,3554.5,Ley 141 20%
53,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0264,0.12,2184.98,262.1976,3752529.79,3554.5,ARTICULO 39 LEY 756
54,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,53.2387,0.2,6100.05,1220.01,230870981.93,3554.5,Ley 141 20%
55,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,53.2387,0.12,6100.05,732.006,138522589.52,3554.5,ARTICULO 39 LEY 756
56,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,53.2387,0.06,5099.42,305.9652,57899923.78,3554.5,Ley 756 8% variable
57,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0906,0.2,2835.03,567.006,8379439.54,3612.77,Ley 141 20%
58,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0906,0.12,2835.03,340.2036,5027663.84,3612.77,ARTICULO 39 LEY 756
59,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,55.5728,0.2,6628.39,1325.678,266158684.59,3612.77,Ley 141 20%
60,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,55.5728,0.12,6628.39,795.4068,159695210.94,3612.77,ARTICULO 39 LEY 756
61,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,55.5728,0.06,7153.67,429.2202,86175288.25,3612.77,Ley 756 8% variable
62,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1193,0.2,2661.24,532.248,8004295.66,3650.78,Ley 141 20%
63,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1193,0.12,2661.24,319.3488,4802577.4,3650.78,ARTICULO 39 LEY 756
64,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,55.5299,0.2,6301.15,1260.23,255483211.79,3650.78,Ley 141 20%
65,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,55.5299,0.12,6301.15,756.138,153289927.32,3650.78,ARTICULO 39 LEY 756
66,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,55.5299,0.06,7372.88,442.3728,89681108.71,3650.78,Ley 756 8% variable
67,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.2753,0.2,2645.94,529.188,8451719.42,3735.67,Ley 141 20%
68,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.2753,0.12,2645.94,317.5128,5071031.84,3735.67,ARTICULO 39 LEY 756
69,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,57.0149,0.2,6447.33,1289.466,274641882.23,3735.67,Ley 141 20%
70,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,57.0149,0.12,6447.33,773.6796,164785129.43,3735.67,ARTICULO 39 LEY 756
71,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,57.0149,0.06,7786.92,467.2152,99511628.55,3735.67,Ley 756 8% variable
72,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1616,0.2,2466.09,493.218,7563824.27,3685.04,Ley 141 20%
73,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1616,0.12,2466.09,295.9308,4538294.86,3685.04,ARTICULO 39 LEY 756
74,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,63.1898,0.2,6160.09,1232.018,286883941.77,3685.04,Ley 141 20%
75,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,63.1898,0.12,6160.09,739.2108,172130365.34,3685.04,ARTICULO 39 LEY 756
76,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2021,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,63.1898,0.06,7282.79,436.9674,101750891.62,3685.04,Ley 756 8% variable
77,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,1,MAGDALENA MEDIO-CASABE,CASABE,QB,G,4.2855,0.2,32.11,6.422,96086.08,3491.32,Ley 141 20%
78,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,1,MAGDALENA MEDIO-CASABE,CASABE,B,O,51.4534,0.2,56947,11389.4,2045995056.14,3491.32,Ley 141 20%
79,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,1,MAGDALENA MEDIO-CASABE,CASABE,I,O,51.4534,0.08360059,266618.27,22289.4446767793,4004082182.42,3491.32,Ley 756 8% variable
80,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,1,MAGDALENA MEDIO-CASABE,CASABE SUR,B,O,51.5004,0.08,53834.59,4306.7672,774375591.06,3491.32,Ley 756 8% variable
81,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,1,MAGDALENA MEDIO-CASABE,PEÑAS BLANCAS,QB,G,5.65,0.2,763.79,152.758,3013297.86,3491.32,Ley 141 20%
82,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,1,MAGDALENA MEDIO-CASABE,PEÑAS BLANCAS,B,O,51.2774,0.2,1023,204.6,36628681.16,3491.32,Ley 141 20%
83,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,1,MAGDALENA MEDIO-CASABE,PEÑAS BLANCAS,I,O,51.2774,0.08,28712.75,2297.02,411225870.65,3491.32,Ley 756 8% variable
84,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,2,MAGDALENA MEDIO-CASABE,CASABE,QB,G,4.1901,0.2,4.7,0.94,13999.79,3554.5,Ley 141 20%
85,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,2,MAGDALENA MEDIO-CASABE,CASABE,B,O,57.0947,0.2,51156,10231.2,2076351558.79,3554.5,Ley 141 20%
86,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,2,MAGDALENA MEDIO-CASABE,CASABE,I,O,57.0947,0.08296488,223016.71,18502.5545831448,3754965991.33,3554.5,Ley 756 8% variable
87,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,2,MAGDALENA MEDIO-CASABE,CASABE SUR,B,O,57.1627,0.08,51017.81,4081.4248,829283551.31,3554.5,Ley 756 8% variable
88,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,2,MAGDALENA MEDIO-CASABE,PEÑAS BLANCAS,QB,G,5.5243,0.2,1828.54,365.708,7181087.42,3554.5,Ley 141 20%
89,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,2,MAGDALENA MEDIO-CASABE,PEÑAS BLANCAS,B,O,58.0535,0.2,924,184.8,38133695.43,3554.5,Ley 141 20%
90,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,2,MAGDALENA MEDIO-CASABE,PEÑAS BLANCAS,I,O,58.0535,0.08,25403.15,2032.252,419357569.23,3554.5,Ley 756 8% variable
91,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,3,MAGDALENA MEDIO-CASABE,CASABE,QB,G,4.2569,0.2,601.82,120.364,1851101.73,3612.77,Ley 141 20%
92,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,3,MAGDALENA MEDIO-CASABE,CASABE,B,O,60.9461,0.2,56358,11271.6,2481828698.71,3612.77,Ley 141 20%
93,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,3,MAGDALENA MEDIO-CASABE,CASABE,I,O,60.9461,0.08334119,258576.9,21550.106552511003,4744993869.42,3612.77,Ley 756 8% variable
94,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,3,MAGDALENA MEDIO-CASABE,CASABE SUR,QB,G,5.3851,0.064,210.94,13.50016,262647.17,3612.77,Ley 756 8% variable
95,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,3,MAGDALENA MEDIO-CASABE,CASABE SUR,B,O,60.9411,0.08,52308.91,4184.7128,921332222.27,3612.77,Ley 756 8% variable
96,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,3,MAGDALENA MEDIO-CASABE,PEÑAS BLANCAS,QB,G,5.6124,0.2,217.21,43.442,880843.02,3612.77,Ley 141 20%
97,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,3,MAGDALENA MEDIO-CASABE,PEÑAS BLANCAS,B,O,61.2801,0.2,992,198.4,43923955.92,3612.77,Ley 141 20%
98,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,3,MAGDALENA MEDIO-CASABE,PEÑAS BLANCAS,I,O,61.2801,0.08,28792.51,2303.4008,509951991.92,3612.77,Ley 756 8% variable
99,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,4,MAGDALENA MEDIO-CASABE,CASABE,QB,G,4.2868,0.2,146.38,29.276,458173.99,3650.78,Ley 141 20%
100,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,4,MAGDALENA MEDIO-CASABE,CASABE,B,O,59.0864,0.2,54060,10812,2332272169.2,3650.78,Ley 141 20%
101,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,4,MAGDALENA MEDIO-CASABE,CASABE,I,O,59.0864,0.08304966,241489.91,20055.6549189306,4326234350.6,3650.78,Ley 756 8% variable
102,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,4,MAGDALENA MEDIO-CASABE,CASABE SUR,QB,G,5.4229,0.064,70.85,4.5344,89771.11,3650.78,Ley 756 8% variable
103,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,4,MAGDALENA MEDIO-CASABE,CASABE SUR,B,O,59.2204,0.08,49946.1,3995.688,863870350.43,3650.78,Ley 756 8% variable
104,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,4,MAGDALENA MEDIO-CASABE,PEÑAS BLANCAS,QB,G,5.6518,0.2,826.09,165.218,3409021.56,3650.78,Ley 141 20%
897,BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),2021,2,PALAGUA,PALAGUA,QB,G,4.5566,0.2,398.69,79.738,1291470.98,3554.5,Ley 141 20%
105,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,4,MAGDALENA MEDIO-CASABE,PEÑAS BLANCAS,B,O,59.4754,0.2,960,192,41689267.36,3650.78,Ley 141 20%
106,ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),2021,4,MAGDALENA MEDIO-CASABE,PEÑAS BLANCAS,I,O,59.4754,0.08,26867.79,2149.4232,466707700.24,3650.78,Ley 756 8% variable
